experimentType,company,sampleType,temperature,gasAtmosphere,length,lengthTensile,diameter,width,thickness,linearMassDensity,voltage,freq,totalNumOfCycles,pressure,dGRatio,gprimeGRatio,dPeakPosition,gPeakPosition,gprimePeakPosition,weightBefore,weightAfter,axialLoad,numRotationsPerUnitLength,twistAngle,dryOrWet,rotatingSpeed,numIncre,syncTime,numRepeatingCycle,dataRecFreq,restTimePerIncre,twistOrientation,density,degreeOfMisalignment,averageLength,maxLength,bundlingExtent,sampleID
RF1,NC,S,,,,,,,,,9.0,2.5,380.0,,0.1719751296,0.414762682478,1335.08,1565.16,2657.48,,,,,,,,,,,,,,,,,,,344
RF2,NC,S,,,,,,,,,9.0,2.5,380.0,,0.171974282446,0.414762982987,1335.08,1565.16,2657.48,,,,,,,,,,,,,,,,,,,344
RF3,NC,S,,,,,,,,,9.0,2.5,380.0,,0.171404582443,0.41476264621,1335.07,1565.16,2657.48,,,,,,,,,,,,,,,,,,,344
