Item,Smu1_Time(1)(1),Smu1_V(1)(1),Smu1_I(1)(1),
1,0,0,0.000104904174804688,
2,0.10214804,9,1.13273429870605,
3,0.2047325,0,0.000196456909179688,
4,0.30685626,-9,-1.08287811279297,
5,0.40943508,0,0.000169754028320313,
6,0.5115419,9,1.08195495605469,
7,0.61415042,0,0.000188827514648438,
8,0.71626628,-9,-1.08008766174316,
9,0.81884496,0,0.000177383422851563,
10,0.92096744,9,1.07985305786133,
11,1.02355308,0,0.000188827514648438,
12,1.12567704,-9,-1.0784969329834,
13,1.2282742,0,0.000181198120117188,
14,1.33037606,9,1.07861137390137,
15,1.4329708,0,0.000192642211914063,
16,1.5350751,-9,-1.07747077941895,
17,1.63765788,0,0.000185012817382813,
18,1.73978254,9,1.07771110534668,
19,1.84236116,0,0.000196456909179688,
20,1.94447582,-9,-1.0767707824707,
21,2.04706928,0,0.000186920166015625,
22,2.1491805,9,1.07714653015137,
23,2.25177942,0,0.000196456909179688,
24,2.35390094,-9,-1.07626914978027,
25,2.45647922,0,0.000186920166015625,
26,2.55859282,9,1.0766773223877,
27,2.66118108,0,0.0001983642578125,
28,2.76328394,-9,-1.07589912414551,
29,2.86587662,0,0.00019073486328125,
30,2.96799782,9,1.07642555236816,
31,3.07057876,0,0.000196456909179688,
32,3.17269532,-9,-1.07560539245605,
33,3.27527734,0,0.000194549560546875,
34,3.37740084,9,1.07621765136719,
35,3.47999836,0,0.000196456909179688,
36,3.58211664,-9,-1.07543563842773,
37,3.68471348,0,0.000194549560546875,
38,3.78682066,9,1.07605743408203,
39,3.88939536,0,0.000200271606445313,
40,3.9915434,-9,-1.07516860961914,
41,4.094125,0,0.000192642211914063,
42,4.19624106,9,1.075927734375,
43,4.29882416,0,0.000200271606445313,
44,4.40093178,-9,-1.07523155212402,
45,4.5035159,0,0.000194549560546875,
46,4.60564304,9,1.07576370239258,
47,4.70822374,0,0.0001983642578125,
48,4.81034304,-9,-1.07513236999512,
49,4.91294144,0,0.000194549560546875,
50,5.01504992,9,1.07581329345703,
51,5.11764438,0,0.000200271606445313,
52,5.2197789,-9,-1.07506370544434,
53,5.32236164,0,0.000196456909179688,
54,5.42449612,9,1.07577705383301,
55,5.52707314,0,0.0001983642578125,
56,5.629173,-9,-1.07512855529785,
57,5.73177688,0,0.000192642211914063,
58,5.83387872,9,1.0757942199707,
59,5.93645248,0,0.0001983642578125,
60,6.03858484,-9,-1.07508087158203,
61,6.14116178,0,0.000194549560546875,
62,6.2432839,9,1.07571029663086,
63,6.3458682,0,0.0001983642578125,
64,6.447987,-9,-1.07509422302246,
65,6.55058598,0,0.00019073486328125,
66,6.6527097,9,1.07566452026367,
67,6.75527744,0,0.000200271606445313,
68,6.85740768,-9,-1.07506370544434,
69,6.95999916,0,0.000194549560546875,
70,7.06210978,9,1.07574272155762,
71,7.16470714,0,0.00019073486328125,
72,7.2668253,-9,-1.07502365112305,
73,7.36942866,0,0.000194549560546875,
74,7.47155402,9,1.07573509216309,
75,7.57413828,0,0.000196456909179688,
76,7.67625566,-9,-1.07503700256348,
77,7.77884752,0,0.000192642211914063,
78,7.88095874,9,1.07574462890625,
79,7.9835516,0,0.0001983642578125,
80,8.08567502,-9,-1.07505416870117,
81,8.18825006,0,0.000194549560546875,
82,8.29035624,9,1.07571029663086,
83,8.39293594,0,0.000194549560546875,
84,8.49506558,-9,-1.074951171875,
85,8.59766104,0,0.000194549560546875,
86,8.69977836,9,1.07564926147461,
87,8.80237936,0,0.000194549560546875,
88,8.90449336,-9,-1.07502937316895,
89,9.00707976,0,0.000192642211914063,
90,9.10921008,9,1.07568550109863,
91,9.21179244,0,0.000192642211914063,
92,9.31392716,-9,-1.0749454498291,
93,9.41652154,0,0.000192642211914063,
94,9.51863172,9,1.07570838928223,
95,9.62122522,0,0.000196456909179688,
96,9.72335102,-9,-1.07495307922363,
97,9.82594388,0,0.000192642211914063,
98,9.92806448,9,1.07566833496094,
99,10.03064784,0,0.000196456909179688,
100,10.13277296,-9,-1.07496452331543,
101,10.23536506,0,0.000192642211914063,
102,10.33746328,9,1.07567596435547,
103,10.44004428,0,0.000194549560546875,
104,10.54217416,-9,-1.07490158081055,
105,10.64475178,0,0.00019073486328125,
106,10.74687154,9,1.07560348510742,
107,10.84946724,0,0.000196456909179688,
108,10.9515799,-9,-1.0749683380127,
109,11.05418886,0,0.000194549560546875,
110,11.15631868,9,1.07562255859375,
111,11.25889558,0,0.000200271606445313,
112,11.3610254,-9,-1.07484436035156,
113,11.46360596,0,0.000196456909179688,
114,11.56571626,9,1.07563400268555,
115,11.66831642,0,0.000196456909179688,
116,11.77042906,-9,-1.07495307922363,
117,11.8730172,0,0.00019073486328125,
118,11.9751482,9,1.07559585571289,
119,12.07772126,0,0.0001983642578125,
120,12.1798488,-9,-1.07489395141602,
121,12.28244044,0,0.000188827514648438,
122,12.38454996,9,1.07559967041016,
123,12.48714674,0,0.000194549560546875,
124,12.58925874,-9,-1.07490348815918,
125,12.69183552,0,0.000196456909179688,
126,12.79397118,9,1.07547950744629,
127,12.89655194,0,0.000194549560546875,
128,12.99864718,-9,-1.07489395141602,
129,13.10124184,0,0.000192642211914063,
130,13.20336914,9,1.07553863525391,
131,13.30594302,0,0.000192642211914063,
132,13.40807278,-9,-1.0748176574707,
133,13.51065154,0,0.000192642211914063,
134,13.61276156,9,1.07550430297852,
135,13.71534926,0,0.000196456909179688,
136,13.81745368,-9,-1.07486534118652,
137,13.92005098,0,0.000188827514648438,
138,14.022165,9,1.07553863525391,
139,14.12474564,0,0.000192642211914063,
140,14.22687454,-9,-1.07482147216797,
141,14.32946446,0,0.000186920166015625,
142,14.43157182,9,1.07552337646484,
143,14.5341758,0,0.000196456909179688,
144,14.63628282,-9,-1.07484245300293,
145,14.73892084,0,0.000192642211914063,
146,14.84105282,9,1.0754508972168,
147,14.94363976,0,0.000192642211914063,
148,15.0457696,-9,-1.07480049133301,
149,15.14836056,0,0.000188827514648438,
150,15.25046926,9,1.07549285888672,
151,15.35307526,0,0.00019073486328125,
152,15.45518514,-9,-1.07474899291992,
153,15.55776934,0,0.000186920166015625,
154,15.65989928,9,1.07545852661133,
155,15.762482,0,0.000192642211914063,
156,15.86462184,-9,-1.07476806640625,
157,15.96722276,0,0.00019073486328125,
158,16.06932336,9,1.075439453125,
159,16.17191604,0,0.00019073486328125,
160,16.2740351,-9,-1.07476425170898,
161,16.37661484,0,0.000185012817382813,
162,16.47872372,9,1.07541465759277,
163,16.58129908,0,0.000192642211914063,
164,16.68340804,-9,-1.0747184753418,
165,16.78600786,0,0.000188827514648438,
166,16.88810436,9,1.075439453125,
167,16.99069788,0,0.000192642211914063,
168,17.09282694,-9,-1.07469940185547,
169,17.19540764,0,0.000186920166015625,
170,17.2975234,9,1.07538414001465,
171,17.400105,0,0.000192642211914063,
