Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0239563193172216,4.17426394580207,
2,0.09,0.0215862430632114,4.1693220879822,
3,0.08,0.0191932413727045,4.16813389914281,
4,0.07,0.0168085806071758,4.16453962627374,
5,0.06,0.0144211212173104,4.16056415419204,
6,0.05,0.0120447864755988,4.15117363029171,
7,0.04,0.00965385884046555,4.14342084973671,
8,0.03,0.00727405352517962,4.12424790333931,
9,0.02,0.00488452194258571,4.0945665174784,
10,0.01,0.00250263093039393,3.99579493666128,
11,0,0.000120734795928001,0,
12,-0.01,-0.00227925134822726,4.38740554339376,
13,-0.02,-0.00464394269511104,4.30668535618565,
14,-0.03,-0.0070336377248168,4.26521825173778,
15,-0.04,-0.00941708032041788,4.24760102271539,
16,-0.05,-0.0117921940982342,4.24009302963282,
17,-0.06,-0.014190218411386,4.22826472860044,
18,-0.07,-0.0165799055248499,4.22197821906068,
19,-0.08,-0.018963361158967,4.21866141394302,
20,-0.09,-0.0213426407426596,4.21691022611407,
21,-0.1,-0.0237233024090528,4.21526473320341,
22,-0.09,-0.0213398560881615,4.21746049402501,
23,-0.08,-0.0189543329179287,4.22067082742484,
24,-0.07,-0.0165854748338461,4.220560502564,
25,-0.06,-0.0141971735283732,4.22619332503679,
26,-0.05,-0.0118026128038764,4.23635010576457,
27,-0.04,-0.00942610949277878,4.24353228982153,
28,-0.03,-0.00703364098444581,4.26521627509024,
29,-0.02,-0.00465644290670753,4.29512406802848,
30,-0.01,-0.00226813997142017,4.40889897713791,
31,0,0.000111013185232878,0,
32,0.01,0.00249985232949257,4.00023628676892,
33,0.02,0.00488660065457225,4.09282472904484,
34,0.03,0.00726710958406329,4.12818874587907,
35,0.04,0.00965177547186613,4.14431522123527,
36,0.05,0.0120378443971276,4.15356756164173,
37,0.06,0.014415574260056,4.16216509433505,
38,0.07,0.0168030150234699,4.16591902716424,
39,0.08,0.0191967133432627,4.16738003894177,
40,0.09,0.0215758290141821,4.17133450310724,
41,0.1,0.0239611975848675,4.17341410611105,
