Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0281128194183111,3.5570960888706,
2,0.09,0.0253098830580711,3.55592318595481,
3,0.08,0.0225006826221943,3.55544768766657,
4,0.07,0.0197046920657158,3.55245338351636,
5,0.06,0.0168954972177744,3.55124203961745,
6,0.05,0.0140925562009215,3.54797236832949,
7,0.04,0.0112903034314513,3.5428631518062,
8,0.03,0.00849222019314766,3.53264509370669,
9,0.02,0.00569274509325624,3.51324355339439,
10,0.01,0.0028849383816123,3.46627853951297,
11,0,8.06050375103951E-05,0,
12,-0.01,-0.00272518768906593,3.66947202943939,
13,-0.02,-0.00552901951596141,3.6172778812343,
14,-0.03,-0.00834395736455917,3.5954162622432,
15,-0.04,-0.011140139773488,3.59061922142075,
16,-0.05,-0.0139425871893764,3.58613500642821,
17,-0.06,-0.0167436338961124,3.58345149997163,
18,-0.07,-0.0195509418845177,3.5803901629636,
19,-0.08,-0.0223499182611704,3.57943143528126,
20,-0.09,-0.0251523479819298,3.57819476991408,
21,-0.1,-0.0279617421329021,3.57631507810565,
22,-0.09,-0.0251364000141621,3.5804649810352,
23,-0.08,-0.0223520081490278,3.57909676243025,
24,-0.07,-0.0195488631725311,3.58077088075176,
25,-0.06,-0.0167408660054207,3.58404397840423,
26,-0.05,-0.0139384316280484,3.58720416573875,
27,-0.04,-0.0111359851434827,3.59195881501422,
28,-0.03,-0.00833562947809696,3.59900833870186,
29,-0.02,-0.00552763091400266,3.6181865814043,
30,-0.01,-0.00272449245676398,3.6704084003512,
31,0,7.36576039344072E-05,0,
32,0.01,0.00287452200427651,3.47883925923082,
33,0.02,0.00568649731576443,3.51710356822905,
34,0.03,0.00849430169910192,3.53177942845753,
35,0.04,0.0113014178350568,3.53937891544199,
36,0.05,0.0140967136248946,3.54692599498515,
37,0.06,0.0169017463922501,3.54992901961372,
38,0.07,0.0197026133537292,3.55282818290451,
39,0.08,0.0225055385380983,3.55468054517214,
40,0.09,0.0253195967525244,3.55455897973679,
41,0.1,0.0281079784035683,3.55770872469808,
