Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0203934479504824,4.90353569650466,
2,0.09,0.018357876688242,4.90252775570958,
3,0.08,0.0163278356194496,4.89960836601665,
4,0.07,0.0142859993502498,4.89990222481539,
5,0.06,0.0122636128216982,4.89252236452223,
6,0.05,0.0102342655882239,4.88554841272954,
7,0.04,0.00820563267916441,4.87470028990784,
8,0.03,0.00617073709145188,4.86165583712163,
9,0.02,0.00414695823565125,4.82281201389025,
10,0.01,0.00210998579859734,4.73936839131701,
11,0,8.41198489069939E-05,0,
12,-0.01,-0.00195287226233631,5.12066262236554,
13,-0.02,-0.00397678976878524,5.02918211995633,
14,-0.03,-0.00599792785942554,5.00172738037454,
15,-0.04,-0.00803226698189974,4.97991415003233,
16,-0.05,-0.0100659057497978,4.96726288153496,
17,-0.06,-0.0121002420783043,4.95857848229168,
18,-0.07,-0.0141227636486292,4.95653695987432,
19,-0.08,-0.0161571055650711,4.95138189682602,
20,-0.09,-0.0181852001696825,4.94907942503947,
21,-0.1,-0.0202091056853533,4.94826448814486,
22,-0.09,-0.0181907415390015,4.94757180772633,
23,-0.08,-0.016156418249011,4.95159253536265,
24,-0.07,-0.014126249589026,4.95531383321867,
25,-0.06,-0.0120925977826118,4.96171303127894,
26,-0.05,-0.0100665967911482,4.96692189399761,
27,-0.04,-0.00804962869733572,4.96917330028393,
28,-0.03,-0.00600834935903549,4.99305186954306,
29,-0.02,-0.00398442940786481,5.01953929978588,
30,-0.01,-0.00194801040925086,5.13344279502371,
31,0,8.13414808362722E-05,0,
32,0.01,0.00211276113986969,4.73314271608421,
33,0.02,0.00414904020726681,4.8203919463039,
34,0.03,0.00618532532826066,4.85018950627066,
35,0.04,0.00820354651659727,4.87593992660037,
36,0.05,0.0102370446547866,4.8842221252421,
37,0.06,0.0122740203514695,4.88837384018322,
38,0.07,0.0142908627167344,4.89823472434809,
39,0.08,0.0163306221365929,4.89877233891414,
40,0.09,0.0183523148298264,4.90401351734285,
41,0.1,0.0203802529722452,4.906710438589,
