Item,Smu1_Time(1)(1),Smu1_V(1)(1),Smu1_I(1)(1),
1,0,0,0.000171661376953125,
2,0.10176928,9,1.05203056335449,
3,0.2031813,0,0.00022125244140625,
4,0.3049224,-9,-0.997386932373047,
5,0.40633356,0,0.000162124633789063,
6,0.50804554,9,0.996463775634766,
7,0.60948038,0,0.000188827514648438,
8,0.71120656,-9,-0.994941711425781,
9,0.81265134,0,0.000164031982421875,
10,0.91437302,9,0.994625091552734,
11,1.01579108,0,0.000173568725585938,
12,1.11754048,-9,-0.99346923828125,
13,1.21895802,0,0.000162124633789063,
14,1.32066958,9,0.99346923828125,
15,1.42208842,0,0.000171661376953125,
16,1.52381084,-9,-0.992574691772461,
17,1.62522824,0,0.00016021728515625,
18,1.72697782,9,0.992679595947266,
19,1.82839408,0,0.000162124633789063,
20,1.93015014,-9,-0.99189567565918,
21,2.03158994,0,0.000156402587890625,
22,2.133314,9,0.992179870605469,
23,2.2347569,0,0.000162124633789063,
24,2.33648952,-9,-0.991512298583984,
25,2.43791156,0,0.000150680541992188,
26,2.53964312,9,0.991750717163086,
27,2.64105608,0,0.000162124633789063,
28,2.74277238,-9,-0.991228103637695,
29,2.8442081,0,0.000150680541992188,
30,2.9459213,9,0.991567611694336,
31,3.04733998,0,0.00016021728515625,
32,3.14906266,-9,-0.990993499755859,
33,3.25048242,0,0.000154495239257813,
34,3.35221178,9,0.991432189941406,
35,3.4536487,0,0.000154495239257813,
36,3.55535532,-9,-0.990871429443359,
37,3.65677588,0,0.000154495239257813,
38,3.75851914,9,0.991281509399414,
39,3.85993254,0,0.000154495239257813,
40,3.96168802,-9,-0.990690231323242,
41,4.06310684,0,0.000154495239257813,
42,4.16482318,9,0.991239547729492,
43,4.26625194,0,0.000156402587890625,
44,4.36795294,-9,-0.99066162109375,
45,4.46936694,0,0.000152587890625,
46,4.57112102,9,0.991117477416992,
47,4.67254182,0,0.000156402587890625,
48,4.77426896,-9,-0.990598678588867,
49,4.87570862,0,0.000152587890625,
50,4.97743442,9,0.991140365600586,
51,5.07886106,0,0.00016021728515625,
52,5.18059474,-9,-0.990562438964844,
53,5.28198774,0,0.000148773193359375,
54,5.3837266,9,0.991060256958008,
55,5.48514222,0,0.000158309936523438,
56,5.58686724,-9,-0.99053955078125,
57,5.68829852,0,0.000156402587890625,
58,5.79001872,9,0.991071701049805,
59,5.89142482,0,0.000158309936523438,
60,5.99316262,-9,-0.990505218505859,
61,6.09458626,0,0.000152587890625,
62,6.19633792,9,0.990995407104492,
63,6.29777072,0,0.000156402587890625,
64,6.39948278,-9,-0.990463256835938,
65,6.50091834,0,0.000154495239257813,
66,6.60264826,9,0.991079330444336,
67,6.70406914,0,0.000156402587890625,
68,6.80579928,-9,-0.990493774414063,
69,6.90722336,0,0.000148773193359375,
70,7.00893362,9,0.991071701049805,
71,7.11036868,0,0.000154495239257813,
72,7.21208794,-9,-0.990493774414063,
73,7.31355836,0,0.000152587890625,
74,7.41529634,9,0.991058349609375,
75,7.5167142,0,0.000152587890625,
76,7.61845656,-9,-0.990400314331055,
77,7.71987592,0,0.000148773193359375,
78,7.82161186,9,0.99107551574707,
79,7.92305314,0,0.000150680541992188,
80,8.02476594,-9,-0.990488052368164,
81,8.1261882,0,0.000152587890625,
82,8.2279307,9,0.991113662719727,
83,8.32933772,0,0.000154495239257813,
84,8.4310506,-9,-0.990482330322266,
85,8.5324803,0,0.000150680541992188,
86,8.63420156,9,0.991140365600586,
87,8.73563238,0,0.000152587890625,
88,8.83737564,-9,-0.990503311157227,
89,8.93877274,0,0.000146865844726563,
90,9.04050316,9,0.991151809692383,
91,9.14190816,0,0.000148773193359375,
92,9.24361118,-9,-0.990543365478516,
93,9.34504564,0,0.000150680541992188,
94,9.44675944,9,0.991207122802734,
95,9.54817038,0,0.000154495239257813,
96,9.64990058,-9,-0.990497589111328,
97,9.7513039,0,0.000146865844726563,
98,9.85302142,9,0.991252899169922,
99,9.95445114,0,0.000152587890625,
100,10.0561789,-9,-0.990568161010742,
101,10.15760574,0,0.000152587890625,
102,10.25933548,9,0.991220474243164,
103,10.3607487,0,0.000154495239257813,
104,10.46248788,-9,-0.990556716918945,
105,10.56392256,0,0.000148773193359375,
106,10.66565274,9,0.991256713867188,
107,10.76708534,0,0.000152587890625,
108,10.86882074,-9,-0.990571975708008,
109,10.97022148,0,0.000146865844726563,
110,11.07196426,9,0.991230010986328,
111,11.17338808,0,0.000150680541992188,
112,11.27509094,-9,-0.990663528442383,
113,11.37650642,0,0.000148773193359375,
114,11.4782391,9,0.991434097290039,
115,11.57967588,0,0.000152587890625,
116,11.6814042,-9,-0.99072265625,
117,11.78282054,0,0.000152587890625,
118,11.88456354,9,0.991466522216797,
119,11.98599668,0,0.000154495239257813,
120,12.0877237,-9,-0.990766525268555,
121,12.1891598,0,0.000152587890625,
122,12.2908734,9,0.991487503051758,
123,12.3922943,0,0.000150680541992188,
124,12.49401252,-9,-0.990781784057617,
125,12.59543314,0,0.000152587890625,
126,12.69717592,9,0.991418838500977,
127,12.79860636,0,0.000152587890625,
128,12.90033314,-9,-0.990829467773438,
129,13.00176818,0,0.000150680541992188,
130,13.10350148,9,0.991558074951172,
131,13.20492322,0,0.000154495239257813,
132,13.30664856,-9,-0.990810394287109,
133,13.40806406,0,0.000152587890625,
134,13.5097831,9,0.991592407226563,
135,13.61121906,0,0.000154495239257813,
136,13.71293736,-9,-0.990818023681641,
137,13.81435886,0,0.000150680541992188,
138,13.91608796,9,0.99159049987793,
139,14.0175039,0,0.000154495239257813,
140,14.11922452,-9,-0.990842819213867,
141,14.22063956,0,0.000148773193359375,
142,14.32235034,9,0.991622924804688,
143,14.42378728,0,0.000150680541992188,
144,14.52550276,-9,-0.990839004516602,
145,14.62690016,0,0.000146865844726563,
146,14.72864712,9,0.991615295410156,
147,14.83004648,0,0.000146865844726563,
148,14.93176256,-9,-0.990846633911133,
149,15.0331785,0,0.000146865844726563,
150,15.13490528,9,0.991672515869141,
151,15.23631148,0,0.000148773193359375,
152,15.33805174,-9,-0.990835189819336,
153,15.43944984,0,0.000148773193359375,
154,15.54119244,9,0.991592407226563,
155,15.64262858,0,0.000150680541992188,
156,15.7443612,-9,-0.990837097167969,
157,15.84579382,0,0.000148773193359375,
158,15.9475096,9,0.991662979125977,
159,16.04890838,0,0.000146865844726563,
160,16.15063984,-9,-0.990781784057617,
161,16.25206124,0,0.000150680541992188,
162,16.353766,9,0.991718292236328,
163,16.45518072,0,0.000146865844726563,
164,16.5569,-9,-0.9908447265625,
165,16.65832822,0,0.000143051147460938,
166,16.76007198,9,0.991697311401367,
167,16.86148134,0,0.000146865844726563,
168,16.96321666,-9,-0.990852355957031,
169,17.06462172,0,0.000148773193359375,
170,17.16633552,9,0.991720199584961,
171,17.26774898,0,0.000148773193359375,
172,17.36946566,-9,-0.990859985351563,
173,17.47087372,0,0.000148773193359375,
174,17.57261406,9,0.991683959960938,
175,17.67404002,0,0.000148773193359375,
176,17.77577318,-9,-0.990886688232422,
177,17.87719634,0,0.000148773193359375,
178,17.9789158,9,0.991737365722656,
179,18.0804328,0,0.000148773193359375,
180,18.18216114,-9,-0.990852355957031,
181,18.28356412,0,0.00014495849609375,
182,18.3852994,9,0.991661071777344,
183,18.4867171,0,0.000150680541992188,
184,18.58844652,-9,-0.990863800048828,
185,18.68987066,0,0.00014495849609375,
186,18.79159574,9,0.991758346557617,
187,18.89299838,0,0.000146865844726563,
188,18.99473522,-9,-0.990795135498047,
189,19.09613776,0,0.000141143798828125,
