experimentType,company,sampleType,temperature,gasAtmosphere,length,lengthTensile,diameter,width,thickness,linearMassDensity,voltage,freq,totalNumOfCycles,pressure,dGRatio,gprimeGRatio,dPeakPosition,gPeakPosition,gprimePeakPosition,weightBefore,weightAfter,axialLoad,numRotationsPerUnitLength,twistAngle,dryOrWet,rotatingSpeed,numIncre,syncTime,numRepeatingCycle,dataRecFreq,restTimePerIncre,twistOrientation,density,degreeOfMisalignment,averageLength,maxLength,bundlingExtent,sampleID
RF1,NC,S,,,,,,,,,9.0,99.0,15200.0,,0.145156673232,0.437067990482,1335.83,1568.27,2657.96,,,,,,,,,,,,,,,,,,,355
RF2,NC,S,,,,,,,,,9.0,99.0,15200.0,,0.14573364578,0.437067546698,1335.97,1568.27,2657.96,,,,,,,,,,,,,,,,,,,355
RF3,NC,S,,,,,,,,,9.0,99.0,15200.0,,0.145156614357,0.437067833672,1335.83,1568.27,2657.96,,,,,,,,,,,,,,,,,,,355
