Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0189146418124437,5.28690952710567,
2,0.09,0.0170485284179449,5.2790480089336,
3,0.08,0.0151650672778487,5.2752815753646,
4,0.07,0.0132934032008052,5.26576971619728,
5,0.06,0.0114071555435658,5.25985639196822,
6,0.05,0.00953479390591383,5.24395183507723,
7,0.04,0.00766105065122247,5.2212159690678,
8,0.03,0.00577618647366762,5.19373814137814,
9,0.02,0.00389896193519235,5.12957046835425,
10,0.01,0.00202521495521069,4.93774745948372,
11,0,0.000146605889312923,0,
12,-0.01,-0.00172853260301054,5.78525390992527,
13,-0.02,-0.00360587984323502,5.54649651943394,
14,-0.03,-0.00547419907525182,5.48025374810104,
15,-0.04,-0.0073577961884439,5.43641043806347,
16,-0.05,-0.00923375878483057,5.41491294770892,
17,-0.06,-0.0111145805567503,5.39831437575571,
18,-0.07,-0.0129967862740159,5.38594684287061,
19,-0.08,-0.0148651106283069,5.38172920473663,
20,-0.09,-0.0167507883161306,5.37288146094784,
21,-0.1,-0.0186281371861696,5.36822329579173,
22,-0.09,-0.0167494062334299,5.37332480600836,
23,-0.08,-0.0148776117712259,5.37720712370813,
24,-0.07,-0.0129905408248305,5.38853623909174,
25,-0.06,-0.0111208278685808,5.39528178198993,
26,-0.05,-0.00923376064747572,5.41491185540625,
27,-0.04,-0.00735779944807291,5.43640802964213,
28,-0.03,-0.0054825353436172,5.47192094893217,
29,-0.02,-0.00360379810445011,5.54970046055112,
30,-0.01,-0.00172575446777046,5.79456706429347,
31,0,0.000154939480125904,0,
32,0.01,0.00202938308939338,4.92760585828534,
33,0.02,0.00391146400943398,5.11317500346734,
34,0.03,0.00578521098941565,5.18563628100801,
35,0.04,0.00766242342069745,5.22028055666481,
36,0.05,0.00953131355345249,5.24586666041311,
37,0.06,0.0114175612106919,5.25506269620987,
38,0.07,0.0132906278595328,5.26686931120352,
39,0.08,0.0151706272736192,5.27334819827228,
40,0.09,0.0170471575111151,5.2794725420539,
41,0.1,0.0189299043267965,5.28264687838086,
