Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0230297986418009,4.34220036203409,
2,0.09,0.020736550912261,4.34016246871534,
3,0.08,0.0184467639774084,4.33680401060995,
4,0.07,0.0161694940179586,4.32913979387695,
5,0.06,0.0138748660683632,4.3243660662649,
6,0.05,0.0115934200584888,4.31279119946917,
7,0.04,0.00930850394070148,4.29714594899614,
8,0.03,0.00702081480994821,4.27300830631385,
9,0.02,0.00471784546971321,4.2392232065235,
10,0.01,0.00244334852322936,4.09274399658017,
11,0,0.000152876018546522,0,
12,-0.01,-0.00213762256316841,4.67809433353749,
13,-0.02,-0.00442894408479333,4.51574904019888,
14,-0.03,-0.00670915003865957,4.47150530650433,
15,-0.04,-0.00899769086390734,4.44558505121053,
16,-0.05,-0.011284158565104,4.43099055295304,
17,-0.06,-0.0135664446279407,4.42267680630395,
18,-0.07,-0.0158605352044106,4.41347023274058,
19,-0.08,-0.0181344989687204,4.41148112986133,
20,-0.09,-0.0204258281737566,4.4061860911781,
21,-0.1,-0.0227185133844614,4.40169646260376,
22,-0.09,-0.0204133130609989,4.40888746138673,
23,-0.08,-0.0181303340941668,4.41249452903017,
24,-0.07,-0.0158549901098013,4.41501379157135,
25,-0.06,-0.013560188934207,4.42471711058862,
26,-0.05,-0.0112792914733291,4.43290255582362,
27,-0.04,-0.00898658204823732,4.45108048702964,
28,-0.03,-0.0067029008641839,4.47567413092758,
29,-0.02,-0.00442824978381395,4.51645706010162,
30,-0.01,-0.00213137175887823,4.69181406685389,
31,0,0.000158433453179896,0,
32,0.01,0.00243918085470796,4.09973700010748,
33,0.02,0.00473590241745114,4.22305998668866,
34,0.03,0.00701734004542232,4.27512416468547,
35,0.04,0.00930642243474722,4.29810706320967,
36,0.05,0.0115830022841692,4.3166701320897,
37,0.06,0.0138832023367286,4.32176946966101,
38,0.07,0.0161674246191978,4.32969391531161,
39,0.08,0.018453711643815,4.3351712405679,
40,0.09,0.0207351557910442,4.34045448739151,
41,0.1,0.0230339542031288,4.34141698460165,
