Item,Smu1_Time(1)(1),Smu1_V(1)(1),Smu1_I(1)(1),
1,0,0,0.000177383422851563,
2,0.10177286,9,1.14529609680176,
3,0.20318592,0,0.000146865844726563,
4,0.30489716,-9,-1.0944766998291,
5,0.40629412,0,0.000112533569335938,
6,0.50801318,9,1.09359741210938,
7,0.60943156,0,0.000141143798828125,
8,0.71113642,-9,-1.09149169921875,
9,0.81256528,0,0.000127792358398438,
10,0.91430292,9,1.09147644042969,
11,1.01570542,0,0.000148773193359375,
12,1.11743594,-9,-1.09015464782715,
13,1.21885082,0,0.000133514404296875,
14,1.32057338,9,1.0903263092041,
15,1.42199116,0,0.000148773193359375,
16,1.5237274,-9,-1.08909797668457,
17,1.62513876,0,0.00014495849609375,
18,1.7268654,9,1.08959770202637,
19,1.8282661,0,0.000152587890625,
20,1.92997536,-9,-1.08854484558105,
21,2.03139362,0,0.000143051147460938,
22,2.13310472,9,1.08912658691406,
23,2.23451908,0,0.000152587890625,
24,2.33625174,-9,-1.08822631835938,
25,2.43765038,0,0.000148773193359375,
26,2.53937982,9,1.08892059326172,
27,2.64079372,0,0.000158309936523438,
28,2.74250634,-9,-1.08817291259766,
29,2.84392032,0,0.000152587890625,
30,2.9456324,9,1.08870124816895,
31,3.0470509,0,0.000156402587890625,
32,3.14879116,-9,-1.0877857208252,
33,3.25019186,0,0.000150680541992188,
34,3.35192084,9,1.08860397338867,
35,3.45335112,0,0.00016021728515625,
36,3.55507244,-9,-1.08757781982422,
37,3.65650454,0,0.000154495239257813,
38,3.75823126,9,1.08862686157227,
39,3.85964664,0,0.000158309936523438,
40,3.96138182,-9,-1.08753776550293,
41,4.06281616,0,0.000152587890625,
42,4.16453402,9,1.08856010437012,
43,4.26596448,0,0.000164031982421875,
44,4.36769536,-9,-1.08764266967773,
45,4.46910622,0,0.000156402587890625,
46,4.57083786,9,1.08862686157227,
47,4.67226148,0,0.000164031982421875,
48,4.77399734,-9,-1.08767509460449,
49,4.87542676,0,0.000158309936523438,
50,4.9771581,9,1.08875274658203,
51,5.07858582,0,0.000164031982421875,
52,5.18033404,-9,-1.08794975280762,
53,5.28175712,0,0.000158309936523438,
54,5.38347988,9,1.08892059326172,
55,5.48489528,0,0.000162124633789063,
56,5.5866129,-9,-1.08796310424805,
57,5.68804248,0,0.000162124633789063,
58,5.78975844,9,1.08876419067383,
59,5.89117298,0,0.000165939331054688,
60,5.99290928,-9,-1.08799171447754,
61,6.09432536,0,0.00016021728515625,
62,6.1960808,9,1.0888671875,
63,6.29750732,0,0.000162124633789063,
64,6.39922112,-9,-1.08805656433105,
65,6.50064964,0,0.00016021728515625,
66,6.60239822,9,1.0888671875,
67,6.7038032,0,0.000164031982421875,
68,6.8055339,-9,-1.08805465698242,
69,6.90694988,0,0.000162124633789063,
70,7.0086608,9,1.08908081054688,
71,7.11008014,0,0.000165939331054688,
72,7.21180656,-9,-1.08825874328613,
73,7.31322174,0,0.000156402587890625,
74,7.4149577,9,1.08906745910645,
75,7.5163604,0,0.000164031982421875,
76,7.61808014,-9,-1.08836936950684,
77,7.7195077,0,0.000162124633789063,
78,7.82122294,9,1.08926963806152,
79,7.92266882,0,0.000164031982421875,
80,8.02441232,-9,-1.08844566345215,
81,8.1258262,0,0.000164031982421875,
82,8.22757646,9,1.08916473388672,
83,8.32899968,0,0.000164031982421875,
84,8.43070518,-9,-1.08858489990234,
85,8.53213716,0,0.000162124633789063,
86,8.63386462,9,1.08926010131836,
87,8.73526808,0,0.000164031982421875,
88,8.83700032,-9,-1.08851623535156,
89,8.93840272,0,0.000164031982421875,
90,9.04014142,9,1.08920478820801,
91,9.14157064,0,0.0001678466796875,
92,9.24328416,-9,-1.08827972412109,
93,9.34470648,0,0.000165939331054688,
94,9.44644032,9,1.08924293518066,
95,9.54785082,0,0.0001678466796875,
96,9.64960062,-9,-1.08854103088379,
97,9.75102504,0,0.0001678466796875,
98,9.8527374,9,1.08921432495117,
99,9.95416342,0,0.000171661376953125,
100,10.0558991,-9,-1.08854103088379,
101,10.15731622,0,0.000165939331054688,
102,10.25904986,9,1.0891284942627,
103,10.36047104,0,0.000165939331054688,
104,10.46221254,-9,-1.08833122253418,
105,10.563636,0,0.000164031982421875,
106,10.66535816,9,1.08926963806152,
107,10.76678236,0,0.0001678466796875,
108,10.86851818,-9,-1.08845329284668,
109,10.96993316,0,0.000165939331054688,
110,11.07168054,9,1.08893585205078,
111,11.17310192,0,0.0001678466796875,
112,11.27482414,-9,-1.08835411071777,
113,11.3762471,0,0.0001678466796875,
114,11.47798086,9,1.08901977539063,
115,11.57941248,0,0.000165939331054688,
116,11.68115176,-9,-1.08837127685547,
117,11.78256096,0,0.0001678466796875,
118,11.88428266,9,1.08916091918945,
119,11.98570124,0,0.000165939331054688,
120,12.08741512,-9,-1.08852005004883,
121,12.18884526,0,0.000164031982421875,
122,12.29056348,9,1.08927726745605,
123,12.39197004,0,0.000165939331054688,
124,12.49371976,-9,-1.0885124206543,
125,12.595132,0,0.000164031982421875,
126,12.69683234,9,1.08930778503418,
127,12.79825752,0,0.000169754028320313,
128,12.89997182,-9,-1.08838653564453,
129,13.00140202,0,0.000165939331054688,
130,13.1031256,9,1.08914947509766,
131,13.2045331,0,0.0001678466796875,
132,13.30627618,-9,-1.08835792541504,
133,13.40769152,0,0.000165939331054688,
134,13.50940154,9,1.08938407897949,
135,13.61081952,0,0.000171661376953125,
136,13.71254286,-9,-1.08843231201172,
137,13.81395134,0,0.000169754028320313,
138,13.9156956,9,1.08910369873047,
139,14.01710882,0,0.000171661376953125,
140,14.11883154,-9,-1.08829689025879,
141,14.22025798,0,0.000164031982421875,
142,14.32199224,9,1.08907508850098,
143,14.42342288,0,0.000169754028320313,
144,14.52514396,-9,-1.08828163146973,
145,14.62655486,0,0.0001678466796875,
146,14.7282888,9,1.08932304382324,
147,14.8297052,0,0.000169754028320313,
148,14.9314197,-9,-1.08834838867188,
149,15.03284268,0,0.000165939331054688,
150,15.13456382,9,1.08912467956543,
151,15.23597106,0,0.000171661376953125,
152,15.3377033,-9,-1.08851623535156,
153,15.43911824,0,0.000165939331054688,
154,15.54085748,9,1.08926391601563,
155,15.64229264,0,0.0001678466796875,
156,15.74402796,-9,-1.08860206604004,
157,15.84545884,0,0.0001678466796875,
158,15.94719366,9,1.08940315246582,
159,16.04861204,0,0.0001678466796875,
160,16.15035058,-9,-1.08859443664551,
161,16.2517631,0,0.0001678466796875,
162,16.353496,9,1.08940696716309,
163,16.45491602,0,0.0001678466796875,
164,16.55662906,-9,-1.08890533447266,
165,16.65804694,0,0.0001678466796875,
166,16.7597764,9,1.08986282348633,
167,16.86118758,0,0.000169754028320313,
168,16.96292936,-9,-1.08933067321777,
169,17.0643532,0,0.000169754028320313,
170,17.16607086,9,1.08971405029297,
171,17.26749642,0,0.000165939331054688,
172,17.36920822,-9,-1.08896636962891,
173,17.47061728,0,0.0001678466796875,
174,17.57236002,9,1.08968353271484,
175,17.67376988,0,0.0001678466796875,
176,17.77549046,-9,-1.08882713317871,
177,17.87691684,0,0.000165939331054688,
178,17.9786238,9,1.08954048156738,
179,18.08005182,0,0.000169754028320313,
180,18.18177918,-9,-1.08898735046387,
181,18.28319012,0,0.000165939331054688,
182,18.38492666,9,1.08967971801758,
183,18.48634334,0,0.000173568725585938,
184,18.58805476,-9,-1.0886344909668,
185,18.68948532,0,0.000169754028320313,
186,18.79120338,9,1.08939170837402,
187,18.8926132,0,0.000171661376953125,
188,18.9943412,-9,-1.08866882324219,
189,19.0957545,0,0.000164031982421875,
190,19.19747498,9,1.08938407897949,
191,19.29888844,0,0.00017547607421875,
192,19.40061734,-9,-1.08892250061035,
193,19.50204544,0,0.000169754028320313,
194,19.6037658,9,1.08966255187988,
195,19.70518086,0,0.000169754028320313,
196,19.80691468,-9,-1.08915138244629,
197,19.90831528,0,0.000169754028320313,
198,20.01005552,9,1.08961486816406,
199,20.11148868,0,0.000164031982421875,
200,20.21321096,-9,-1.08881568908691,
201,20.31462796,0,0.000164031982421875,
202,20.41636764,9,1.08960723876953,
203,20.51777094,0,0.000164031982421875,
204,20.6195055,-9,-1.08884429931641,
205,20.72093014,0,0.000165939331054688,
206,20.82265848,9,1.08925437927246,
207,20.92408124,0,0.000169754028320313,
208,21.0258111,-9,-1.08892059326172,
209,21.12722548,0,0.000164031982421875,
210,21.22895164,9,1.08966445922852,
211,21.33035702,0,0.000171661376953125,
212,21.43208396,-9,-1.08926963806152,
213,21.5335135,0,0.000169754028320313,
214,21.63522032,9,1.08942604064941,
215,21.73664082,0,0.0001678466796875,
216,21.8383753,-9,-1.08880233764648,
217,21.93978864,0,0.000164031982421875,
218,22.04154552,9,1.08910369873047,
