experimentType,company,sampleType,temperature,gasAtmosphere,length,lengthTensile,diameter,width,thickness,linearMassDensity,voltage,freq,totalNumOfCycles,pressure,dGRatio,gprimeGRatio,dPeakPosition,gPeakPosition,gprimePeakPosition,weightBefore,weightAfter,axialLoad,numRotationsPerUnitLength,twistAngle,dryOrWet,rotatingSpeed,numIncre,syncTime,numRepeatingCycle,dataRecFreq,restTimePerIncre,twistOrientation,density,degreeOfMisalignment,averageLength,maxLength,bundlingExtent,sampleID
RF1,NC,S,,,,,,,,,9.0,2.5,380.0,,0.244685078316,0.435618784048,1335.03,1567.2,2659.91,,,,,,,,,,,,,,,,,,,337
RF2,NC,S,,,,,,,,,9.0,2.5,380.0,,0.244685117422,0.435618748264,1335.03,1567.2,2659.91,,,,,,,,,,,,,,,,,,,337
RF3,NC,S,,,,,,,,,9.0,2.5,380.0,,0.244685178942,0.435618834959,1335.03,1567.2,2659.91,,,,,,,,,,,,,,,,,,,337
