Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0237761959433556,4.20588727642724,
2,0.09,0.0214078258723021,4.20407006936861,
3,0.08,0.0190471075475216,4.20011278880029,
4,0.07,0.0166710764169693,4.19888903686794,
5,0.06,0.0143103739246726,4.19276255923359,
6,0.05,0.0119447838515043,4.18592756650871,
7,0.04,0.00958197098225355,4.17450648453044,
8,0.03,0.00721152452751994,4.16000803790056,
9,0.02,0.00485288351774216,4.12126108670854,
10,0.01,0.00248521286994219,4.023800182651,
11,0,0.000115458620712161,0,
12,-0.01,-0.00226266658864915,4.41956408874635,
13,-0.02,-0.00461660651490092,4.33218640909647,
14,-0.03,-0.0069893030449748,4.29227346517326,
15,-0.04,-0.00934463273733854,4.28053205774168,
16,-0.05,-0.011707597412169,4.27073106801824,
17,-0.06,-0.0140788936987519,4.26169848880377,
18,-0.07,-0.0164481215178967,4.25580513396836,
19,-0.08,-0.0188117921352386,4.25265171042063,
20,-0.09,-0.0211685039103031,4.25159946972895,
21,-0.1,-0.0235432907938957,4.24749457819753,
22,-0.09,-0.0211726799607277,4.25076089408319,
23,-0.08,-0.0188076328486204,4.25359217951068,
24,-0.07,-0.0164446569979191,4.25670173654932,
25,-0.06,-0.0140775153413415,4.26211576014396,
26,-0.05,-0.0117180189117789,4.26693286437182,
27,-0.04,-0.00934949237853289,4.27830714016548,
28,-0.03,-0.0069823544472456,4.29654498731934,
29,-0.02,-0.00462494185194373,4.32437869280336,
30,-0.01,-0.00224947021342814,4.44549118290401,
31,0,0.000116848153993487,0,
32,0.01,0.00248313043266535,4.02717467775794,
33,0.02,0.0048494110815227,4.12421212880968,
34,0.03,0.00722055742517114,4.1548038791879,
35,0.04,0.00958961993455887,4.17117677999405,
36,0.05,0.0119524151086807,4.18325497778991,
37,0.06,0.0143242618069053,4.18869752653333,
38,0.07,0.0166815109550953,4.19626256808703,
39,0.08,0.0190471038222313,4.20011361027108,
40,0.09,0.0214099027216434,4.20366225713946,
41,0.1,0.0237852241843939,4.20429083302955,
