Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0173287149518728,5.77076836209325,
2,0.09,0.0156168239191175,5.76301560843148,
3,0.08,0.0138813126832247,5.76314371887023,
4,0.07,0.0121638607233763,5.75475184991845,
5,0.06,0.0104262754321098,5.75469163371781,
6,0.05,0.00869770813733339,5.74864081554815,
7,0.04,0.00698095699772239,5.72987342753299,
8,0.03,0.00524961296468973,5.71470700826667,
9,0.02,0.00353077333420515,5.6644814342075,
10,0.01,0.00180429348256439,5.54233559929912,
11,0,7.43414275348186E-05,0,
12,-0.01,-0.00164936087094247,6.06295455177485,
13,-0.02,-0.00337456306442618,5.92669320980695,
14,-0.03,-0.0050907414406538,5.89305120869527,
15,-0.04,-0.00682011712342501,5.86500191655247,
16,-0.05,-0.0085515733808279,5.84687726729878,
17,-0.06,-0.0102628888562322,5.84630710129583,
18,-0.07,-0.011989489197731,5.83844723036636,
19,-0.08,-0.0137174734845757,5.83197773919183,
20,-0.09,-0.0154531020671129,5.82407335492443,
21,-0.1,-0.0171803925186396,5.82058878407503,
22,-0.09,-0.0154537931084633,5.82381292206581,
23,-0.08,-0.0137216411530972,5.83020639495028,
24,-0.07,-0.0119957402348518,5.83540478782839,
25,-0.06,-0.0102740051224828,5.83998151496937,
26,-0.05,-0.00854045897722244,5.8544862908833,
27,-0.04,-0.00682150712236762,5.86380682193244,
28,-0.03,-0.00509282620623708,5.89063886830845,
29,-0.02,-0.00337734119966626,5.92181802714406,
30,-0.01,-0.00163894367869943,6.10149093587853,
31,0,7.29506136849523E-05,0,
32,0.01,0.00180776242632419,5.53170032432496,
33,0.02,0.00352868484333158,5.66783401974691,
34,0.03,0.00525307655334473,5.71093904597649,
35,0.04,0.00697885872796178,5.73159617628229,
36,0.05,0.00871227867901325,5.73902670497025,
37,0.06,0.0104234842583537,5.75623261021516,
38,0.07,0.0121520543470979,5.7603429017512,
39,0.08,0.0138778230175376,5.76459289752455,
40,0.09,0.0156112732365727,5.76506468345937,
41,0.1,0.0173266381025314,5.77146007253363,
