Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0228036623448133,4.38526051157501,
2,0.09,0.0205279421061277,4.38426801550333,
3,0.08,0.0182508304715157,4.38336217767499,
4,0.07,0.0159765109419823,4.381432232244,
5,0.06,0.0137209370732307,4.37287917580052,
6,0.05,0.0114313289523125,4.37394464008363,
7,0.04,0.00916394125670195,4.36493413472576,
8,0.03,0.0068854377605021,4.35702144780005,
9,0.02,0.00461528077721596,4.33343082802959,
10,0.01,0.00233956566080451,4.27429764743653,
11,0,5.82934590056539E-05,0,
12,-0.01,-0.00220773601904511,4.52952704206238,
13,-0.02,-0.00448777386918664,4.45655253205188,
14,-0.03,-0.00675322581082582,4.44232146834306,
15,-0.04,-0.00902354158461094,4.43284930034759,
16,-0.05,-0.01129802595824,4.42555187824943,
17,-0.06,-0.0135773662477732,4.41911920950358,
18,-0.07,-0.0158497747033834,4.41646656245891,
19,-0.08,-0.0181207805871964,4.41482085250377,
20,-0.09,-0.0203931704163551,4.4132421866009,
21,-0.1,-0.0226739048957825,4.41035633075275,
22,-0.09,-0.020398722961545,4.4120408993085,
23,-0.08,-0.0181228648871183,4.41431310658083,
24,-0.07,-0.0158428270369768,4.41840334661368,
25,-0.06,-0.0135725094005466,4.42070056680778,
26,-0.05,-0.0113021899014711,4.42392142017467,
27,-0.04,-0.00901868473738432,4.43523653002213,
28,-0.03,-0.00675531243905425,4.44094929296861,
29,-0.02,-0.00447527226060629,4.46900184734023,
30,-0.01,-0.00220843055285513,4.52810254190319,
31,0,6.10705465078354E-05,0,
32,0.01,0.0023374785669148,4.27811409334069,
33,0.02,0.00460902927443385,4.33930852011277,
34,0.03,0.00689030485227704,4.35394378669413,
35,0.04,0.00915837939828634,4.36758494712335,
36,0.05,0.0114375632256269,4.37156053380061,
37,0.06,0.0136994058266282,4.37975199503726,
38,0.07,0.0159744154661894,4.3820069753512,
39,0.08,0.0182494409382343,4.38369593187879,
40,0.09,0.020518908277154,4.38619827060718,
41,0.1,0.0228029489517212,4.38539770499516,
