Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0185168478637934,5.40048720687139,
2,0.09,0.0166758503764868,5.39702611669516,
3,0.08,0.0148251382634044,5.39623972327319,
4,0.07,0.0129841454327106,5.39119038390087,
5,0.06,0.0111313471570611,5.39018316052962,
6,0.05,0.00929174199700356,5.38112229290527,
7,0.04,0.00745144439861178,5.36808675744156,
8,0.03,0.00560072250664234,5.35645177285977,
9,0.02,0.0037409788928926,5.34619429101767,
10,0.01,0.00189998361747712,5.26320327607795,
11,0,6.87118154019117E-05,0,
12,-0.01,-0.00178131391294301,5.61383365803193,
13,-0.02,-0.00362451514229178,5.51797943030636,
14,-0.03,-0.00547327427193522,5.48117973071952,
15,-0.04,-0.0073109227232635,5.47126559999317,
16,-0.05,-0.00914995465427637,5.46450795541721,
17,-0.06,-0.011000101454556,5.45449514696516,
18,-0.07,-0.0128571977838874,5.44442118544088,
19,-0.08,-0.0147101189941168,5.43843323306871,
20,-0.09,-0.0165415126830339,5.44085669337302,
21,-0.1,-0.0183937251567841,5.43663663274416,
22,-0.09,-0.0165519304573536,5.43743222169081,
23,-0.08,-0.0147073399275541,5.43946086743534,
24,-0.07,-0.0128599693998694,5.44324778880972,
25,-0.06,-0.0110119124874473,5.44864482608225,
26,-0.05,-0.0091541251167655,5.46201841926178,
27,-0.04,-0.00731439376249909,5.46866921563343,
28,-0.03,-0.00546563370153308,5.48884203337395,
29,-0.02,-0.00361965410411358,5.52538983691035,
30,-0.01,-0.00178200844675303,5.61164567890847,
31,0,6.52382150292397E-05,0,
32,0.01,0.00191248150076717,5.22880874716362,
33,0.02,0.00375972595065832,5.31953665306325,
34,0.03,0.00560766691341996,5.34981846518124,
35,0.04,0.00745144067332149,5.36808944117513,
36,0.05,0.00929729081690311,5.3779107252509,
37,0.06,0.0111445244401693,5.38380980921321,
38,0.07,0.0129959406331182,5.3862973043764,
39,0.08,0.0148279098793864,5.39523106430631,
40,0.09,0.0166834909468889,5.39455443027545,
41,0.1,0.0185237973928452,5.39846111891858,
